year,mine_NDVI,mine_EVI,ref_NDVI,ref_EVI
1995.0,0.14990826887142847,0.1905570425795203,0.2004560874058742,0.2556834045909554
1996.0,0.14480221822663258,0.18237009201870336,0.1845908006241544,0.23272780490150233
1997.0,0.14575152391645982,0.1835926859154405,0.19404972175504195,0.24640830326123653
1998.0,0.15128551568357554,0.20741202985782203,0.18951740641392048,0.2534390075856089
1999.0,0.1417549142747607,0.18395092149565329,0.19881623958227782,0.25856482992791935
2000.0,0.1297506718408291,0.1620101071550511,0.15416764172654246,0.19085362028037806
2001.0,0.1316212534880012,0.1640713865610325,0.19971331863786873,0.24785590439825197
2002.0,0.13162080835007484,0.16485041540234496,0.15440221236245683,0.19147640559043705
2003.0,0.12649217852379407,0.16093017123244602,0.1810777137329018,0.22803795309571503
2004.0,0.13474906760476477,0.17526342280769006,0.19703466572655368,0.25266121063234903
2005.0,0.1301178315935231,0.1702422377799576,0.18289506839844225,0.23959622772937694
2006.0,0.12944136635652054,0.1671486320760107,0.17098147568091238,0.215823828184654
2007.0,0.12018009013253275,0.15560345090800254,0.17950802425679926,0.22849837792753463
2008.0,0.11902463879723098,0.15289550452535436,0.17952244651184537,0.22704395522550228
2009.0,0.11091345455545198,0.14426520386731148,0.14264372891973884,0.1790314970365979
2010.0,0.10851991250893034,0.14868409581742936,0.1464900405907221,0.20266503346677758
2011.0,0.12408765072717158,0.15758558744591322,0.18982788192895347,0.23751498530426213
2012.0,0.11159458669404354,0.14313477348817033,0.18180681817180883,0.2282301501339809
2013.0,0.11999141429497308,0.16657247356593105,0.19308104394139342,0.2422969447265758
2014.0,0.12031493976291865,0.1589814137649896,0.19191546255980443,0.23917577259005438
2015.0,0.11872342871125474,0.1493568156528053,0.16074237437915417,0.19810207842952193
2016.0,0.11709061455484288,0.1473010227680965,0.18053246838203396,0.22369845170270683
2017.0,0.13883169871366383,0.17836277791155847,0.1943068667483036,0.24488919002161308
2018.0,0.1364248290196785,0.18824489841216807,0.17443531886718158,0.2427814504170593
2019.0,0.1265928023339482,0.16194417648010653,0.20350110741906002,0.25500949975394277
2020.0,0.13260638428318733,0.18866031265487365,0.2199421927893236,0.29478494080475837
2021.0,0.1419016306105868,0.18299847263283286,0.21417512047530357,0.2754665050824362
2022.0,0.14818125789928455,0.1955202176712375,0.20933461111264035,0.27529083163862045
2023.0,0.14804296050792007,0.19537588537681963,0.2031966840453654,0.26357061615506927
